Admin Graphql Api Id,Order Number,Billing Address Country,Billing Address First Name,Billing Address Last Name,Billing Address Province,Billing Address Zip,CITY,Currency,Customer Id,Invoice Date,Gateway,Product Id,Product Type,Variant Id,Quantity,Subtotal Price,Total Price Usd,Total Tax
gid://shopify/LineItem/2153619128398,1681,United States,Vanni,Wimpenny,Texas,88446,HOUSTON,USD,2865,3/19/25 17:27,shopify_payments,1.50E+11,Climbing Shoes,1.47E+12,1,535.13,588.643,53.513
gid://shopify/LineItem/2160863674446,6972,United States,Marc,Netley,Louisiana,50466,MONROE,USD,4987,3/24/25 15:42,shopify_payments,1.50E+11,Climbing Shoes,1.47E+12,1,578.33,636.163,57.833
gid://shopify/LineItem/2157784006734,4994,United States,Elwyn,Colebourn,Texas,67432,HOUSTON,USD,5472,3/22/25 18:32,shopify_payments,1.50E+11,Climbing Shoes,1.47E+12,1,594.33,653.763,59.433
gid://shopify/LineItem/2151551729742,206,United States,Gannie,Busst,Texas,56331,EL PASO,USD,3227,3/18/25 10:51,manual,1.50E+11,Climbing Shoes,1.47E+12,1,487.13,535.843,48.713
gid://shopify/LineItem/2157085786190,4346,United States,Weston,Lomasny,Florida,70043,PANAMA CITY,USD,1874,3/22/25 9:55,paypal,1.50E+11,Climbing Shoes,1.47E+12,1,535.13,588.643,53.513
gid://shopify/LineItem/2159012479054,5656,United States,Koren,Alelsandrowicz,Illinois,51697,SPRINGFIELD,USD,607,3/23/25 13:47,shopify_payments,1.66E+11,Climbing Shoes,1.56E+12,1,741.13,815.243,74.113
gid://shopify/LineItem/2160327950414,6507,United States,Isaiah,Ditt,Wisconsin,36126,GREEN BAY,USD,5134,3/24/25 10:18,shopify_payments,1.66E+11,Climbing Shoes,1.56E+12,1,1036.73,1140.403,103.673
gid://shopify/LineItem/2160746299470,6890,United States,Hadlee,Szimoni,Indiana,55467,LAFAYETTE,USD,4689,3/24/25 14:26,shopify_payments,1.66E+11,Climbing Shoes,1.56E+12,1,1038.33,1142.163,103.833
gid://shopify/LineItem/2160156573774,6284,United States,Fredrika,Winslade,Illinois,12320,CHICAGO,USD,5613,3/24/25 7:19,paypal,6158163269,Running Shoes,20057339205,1,508.13,558.943,50.813
gid://shopify/LineItem/2160156737614,6285,United States,Emelen,Reveland,California,34046,BURBANK,USD,4038,3/24/25 7:19,shopify_payments,6158163269,Climbing Shoes,20057339205,1,713.13,784.443,71.313
gid://shopify/LineItem/2158976237646,5629,United States,Reinald,Humphris,California,83064,LONG BEACH,USD,673,3/23/25 13:22,amazon_payments,6158163269,Climbing Shoes,20057339205,1,595.93,655.523,59.593
gid://shopify/LineItem/2157950107726,5133,United States,Vaughn,Selkirk,Louisiana,97570,SHREVEPORT,USD,3413,3/22/25 20:31,shopify_payments,6158163269,Climbing Shoes,20057339269,1,634.33,697.763,63.433
gid://shopify/LineItem/2160815112270,6937,United States,Bunni,Manlow,California,3074,ORANGE,USD,1719,3/24/25 15:13,shopify_payments,6158163269,Walking Shoes,20057339269,1,547.13,601.843,54.713
gid://shopify/LineItem/2154745790542,2560,United States,Roxana,McMillian,Georgia,49866,ATLANTA,USD,4531,3/20/25 15:03,shopify_payments,8824571589,Walking Shoes,39734609029,1,944.13,1038.543,94.413
gid://shopify/LineItem/2156666486862,4090,United States,Eda,Eberz,Arizona,32326,SCOTTSDALE,USD,3534,3/21/25 22:46,paypal,8824571589,Walking Shoes,39734609029,1,562.13,618.343,56.213
gid://shopify/LineItem/2159423553614,5927,United States,Iggie,Tunnick,California,32545,SANTA CLARA,USD,2665,3/23/25 18:19,shopify_payments,8824571589,Walking Shoes,39734609029,1,727.13,799.843,72.713
gid://shopify/LineItem/2156700205134,4113,United States,Emilia,Bilbie,District of Columbia,70613,WASHINGTON,USD,5184,3/21/25 23:17,shopify_payments,8824571589,Walking Shoes,39734609029,1,529.53,582.483,52.953
gid://shopify/LineItem/2161105371214,7159,United States,Lucio,Danilewicz,Florida,13505,JACKSONVILLE,USD,697,3/24/25 18:29,shopify_payments,8824571589,Walking Shoes,39734609029,1,821.53,903.683,82.153
gid://shopify/LineItem/2161468571726,7402,United States,Mada,O'Henery,South Carolina,29423,COLUMBIA,USD,1574,3/24/25 23:14,shopify_payments,8824571589,Walking Shoes,39734609029,1,686.33,754.963,68.633
gid://shopify/LineItem/2151810007118,433,United States,Harriett,Fetherstonhaugh,New York,10724,NEW YORK CITY,USD,5606,3/18/25 13:45,gift_card,8824571589,Walking Shoes,39734609157,1,474.13,521.543,47.413
gid://shopify/LineItem/2156680052814,4104,United States,Becka,Stanlike,Florida,97446,MIAMI,USD,3640,3/21/25 23:00,amazon_payments,6479955205,Walking Shoes,21459704389,1,595.13,654.643,59.513
gid://shopify/LineItem/2155147133006,2985,United States,Keslie,Sotheron,New Mexico,76285,ALBUQUERQUE,USD,2361,3/20/25 20:33,gift_card,6479955205,Walking Shoes,21459704645,1,595.13,654.643,59.513
gid://shopify/LineItem/2153747775566,1817,United States,Jehanna,McQuin,Texas,46221,SPRING,USD,3701,3/19/25 19:07,amazon_payments,6137294981,Tennis Shoes,22619428677,1,527.13,579.843,52.713
gid://shopify/LineItem/2154416144462,2190,United States,Lindsay,Gronav,Florida,66056,BRADENTON,USD,757,3/20/25 10:07,shopify_payments,6137294981,Tennis Shoes,19946478341,1,527.13,579.843,52.713
gid://shopify/LineItem/2154658496590,2457,United States,Kim,Ferrarin,Tennessee,67435,MEMPHIS,USD,5602,3/20/25 13:46,gift_card,6137294981,Tennis Shoes,19946478341,1,509.53,560.483,50.953
gid://shopify/LineItem/2155970003022,3524,United States,Augustine,Errichelli,Indiana,1443,GARY,USD,2796,3/21/25 13:20,shopify_payments,6137294981,Tennis Shoes,19946478341,1,509.53,560.483,50.953
gid://shopify/LineItem/2160748396622,6892,United States,Pen,Oleshunin,New York,41669,BROOKLYN,USD,5467,3/24/25 14:27,shopify_payments,6137294981,Tennis Shoes,19946478341,1,587.93,646.723,58.793
gid://shopify/LineItem/2160318349390,6494,United States,Dona,Culham,California,53581,STOCKTON,USD,5044,3/24/25 10:11,paypal,6137294981,Tennis Shoes,19946478405,1,527.13,579.843,52.713
gid://shopify/LineItem/2151524663374,173,United States,Lisetta,Penton,Louisiana,89377,NEW ORLEANS,USD,3353,3/18/25 10:26,shopify_payments,6137294981,Tennis Shoes,19946478405,1,736.73,810.403,73.673
gid://shopify/LineItem/2158218510414,5285,United States,Barnaby,Braden,Pennsylvania,39019,PITTSBURGH,USD,1005,3/23/25 0:04,shopify_payments,6137294981,Tennis Shoes,19946477957,1,527.13,579.843,52.713
gid://shopify/LineItem/2153012625486,1134,United States,Mortie,Adamek,Texas,46066,KATY,USD,1652,3/19/25 10:39,paypal,6137294981,Tennis Shoes,19946477957,1,579.93,637.923,57.993
gid://shopify/LineItem/2154569236558,2377,United States,Von,Dowdam,Texas,54381,TEXARKANA,USD,2011,3/20/25 12:35,shopify_payments,6137294981,Tennis Shoes,19946477957,1,509.53,560.483,50.953
gid://shopify/LineItem/2157725122638,4959,United States,Duncan,Jickells,Florida,48967,MIAMI,USD,956,3/22/25 17:54,shopify_payments,6137294981,Tennis Shoes,19946477957,1,782.63,860.893,78.263
gid://shopify/LineItem/2152949678158,1069,United States,Sheeree,Tather,Florida,72707,TAMPA,USD,5711,3/19/25 9:48,shopify_payments,6137294981,Tennis Shoes,19946478469,1,527.13,579.843,52.713
gid://shopify/LineItem/2157811138638,5011,United States,Nikita,Stirrip,Alabama,78325,HUNTSVILLE,USD,2210,3/22/25 18:48,shopify_payments,6137294981,Tennis Shoes,19946478469,1,625.13,687.643,62.513
gid://shopify/LineItem/2153812885582,1871,United States,Fred,Brice,Tennessee,14626,CHATTANOOGA,USD,1244,3/19/25 20:00,shopify_payments,6137294981,Tennis Shoes,19946478021,1,658.33,724.163,65.833
gid://shopify/LineItem/2159186214990,5769,United States,Hayyim,Matyja,Nevada,21478,LAS VEGAS,USD,4885,3/23/25 15:38,shopify_payments,6137294981,Tennis Shoes,19946478021,1,587.93,646.723,58.793
gid://shopify/LineItem/2159408349262,5916,United States,Kit,Wagner,Pennsylvania,21380,READING,USD,6335,3/23/25 18:05,shopify_payments,6137294981,Tennis Shoes,19946478021,1,509.53,560.483,50.953
gid://shopify/LineItem/2160394436686,6570,United States,Bear,Gunton,Alabama,81324,ANNISTON,USD,6162,3/24/25 10:58,gift_card,6137294981,Tennis Shoes,19946478021,1,610.33,671.363,61.033
gid://shopify/LineItem/2153597894734,1671,United States,Mellisa,Hynes,California,39505,LONG BEACH,USD,4057,3/19/25 17:11,gift_card,6137294981,Tennis Shoes,19946478021,1,569.13,626.043,56.913
gid://shopify/LineItem/2161041244238,7104,United States,Rhonda,Bulbrook,Texas,95354,CORPUS CHRISTI,USD,3910,3/24/25 17:37,paypal,6137294981,Tennis Shoes,19946478021,1,1064.73,1171.203,106.473
gid://shopify/LineItem/2153034022990,1155,United States,Sibbie,Rissen,District of Columbia,85180,WASHINGTON,USD,2121,3/19/25 10:56,shopify_payments,6137294981,Tennis Shoes,19946478533,1,658.33,724.163,65.833
gid://shopify/LineItem/2155003019342,2832,United States,Yehudit,Towlson,Virginia,39048,RICHMOND,USD,1948,3/20/25 18:24,paypal,6137294981,Tennis Shoes,19946478533,1,509.53,560.483,50.953
gid://shopify/LineItem/2156183322702,3705,United States,Rori,Pirrey,Texas,87451,HOUSTON,USD,2376,3/21/25 16:00,shopify_payments,6137294981,Tennis Shoes,19946478533,1,579.93,637.923,57.993
gid://shopify/LineItem/2157127106638,4406,United States,Sidney,Gascoyne,Pennsylvania,17178,PITTSBURGH,USD,5658,3/22/25 10:30,shopify_payments,6137294981,Tennis Shoes,19946478533,1,648.73,713.603,64.873
gid://shopify/LineItem/2158227947598,5289,United States,Lane,Blasik,Maryland,6424,BALTIMORE,USD,4797,3/23/25 0:12,paypal,6137294981,Tennis Shoes,19946478533,1,652.13,717.343,65.213
gid://shopify/LineItem/2161193517134,7235,United States,Silvie,Pepler,Iowa,97602,DES MOINES,USD,5552,3/24/25 19:38,paypal,6137294981,Tennis Shoes,19946478533,1,625.13,687.643,62.513
gid://shopify/LineItem/2152600764494,937,United States,Renell,Stangroom,Maryland,89746,BALTIMORE,USD,4153,3/18/25 23:49,shopify_payments,6137294981,Tennis Shoes,19946478085,1,527.13,579.843,52.713
gid://shopify/LineItem/2153473540174,1538,United States,Dionne,Wise,Texas,88025,HOUSTON,USD,1698,3/19/25 15:46,shopify_payments,6137294981,Tennis Shoes,19946478085,1,527.13,579.843,52.713
gid://shopify/LineItem/2153519939662,1584,United States,Goldie,Jirieck,California,4948,SANTA CRUZ,USD,3637,3/19/25 16:18,shopify_payments,6137294981,Tennis Shoes,19946478085,1,585.13,643.643,58.513
gid://shopify/LineItem/2153766355022,1837,United States,Sib,Lissandri,Oregon,25949,PORTLAND,USD,1294,3/19/25 19:23,shopify_payments,6137294981,Tennis Shoes,19946478085,1,674.13,741.543,67.413
gid://shopify/LineItem/2154778394702,2603,United States,Willamina,Awton,Wisconsin,48457,MADISON,USD,1842,3/20/25 15:28,shopify_payments,6137294981,Tennis Shoes,19946478085,1,615.13,676.643,61.513
gid://shopify/LineItem/2156430983246,3914,United States,Merrill,Davidowich,Michigan,41333,GRAND RAPIDS,USD,6441,3/21/25 19:19,shopify_payments,6137294981,Tennis Shoes,19946478085,1,909.13,1000.043,90.913
gid://shopify/LineItem/2159246835790,5809,United States,Bamby,Dumbare,Missouri,88005,KANSAS CITY,USD,1911,3/23/25 16:18,shopify_payments,6137294981,Cycling Shoes,19946478085,1,527.13,579.843,52.713
gid://shopify/LineItem/2152017133646,580,United States,Gianna,Emps,California,78715,TORRANCE,USD,6313,3/18/25 15:57,shopify_payments,6137294981,Cycling Shoes,19946478085,1,579.93,637.923,57.993
gid://shopify/LineItem/2154572775502,2380,United States,Ediva,Alentyev,District of Columbia,81450,WASHINGTON,USD,3297,3/20/25 12:38,shopify_payments,6137294981,Cycling Shoes,19946478085,1,509.53,560.483,50.953
gid://shopify/LineItem/2157108723790,4379,United States,Lora,Island,Louisiana,52,LAFAYETTE,USD,170,3/22/25 10:14,shopify_payments,6137294981,Cycling Shoes,19946478085,1,509.53,560.483,50.953
gid://shopify/LineItem/2152504655950,892,United States,Adi,Jerrems,Kansas,76037,TOPEKA,USD,1457,3/18/25 22:16,gift_card,6137294981,Cycling Shoes,19946478085,1,509.53,560.483,50.953
gid://shopify/LineItem/2157805535310,5007,United States,Avis,Bushrod,Alabama,94287,BIRMINGHAM,USD,3970,3/22/25 18:44,gift_card,6137294981,Cycling Shoes,19946478085,1,509.53,560.483,50.953
gid://shopify/LineItem/2161367285838,7343,United States,Rossy,McGauhy,Pennsylvania,83354,SCRANTON,USD,4456,3/24/25 21:48,gift_card,6137294981,Cycling Shoes,19946478085,1,504.13,554.543,50.413
gid://shopify/LineItem/2156640174158,4074,United States,Benoit,Chattock,Nebraska,50843,LINCOLN,USD,5257,3/21/25 22:25,shopify_payments,6137294981,Cycling Shoes,19946478597,1,527.13,579.843,52.713
gid://shopify/LineItem/2160270934094,6432,United States,Fayina,Dorgon,Texas,91461,DALLAS,USD,4481,3/24/25 9:36,shopify_payments,6137294981,Cycling Shoes,19946478149,1,615.13,676.643,61.513
gid://shopify/LineItem/2160355573838,6532,United States,Bud,Pundy,Washington,47200,VANCOUVER,USD,5114,3/24/25 10:34,shopify_payments,6137294981,Cycling Shoes,19946478149,1,615.13,676.643,61.513
gid://shopify/LineItem/2152650670158,958,United States,Norrie,Peet,California,64290,SAN FRANCISCO,USD,1627,3/19/25 0:49,shopify_payments,6137294981,Cycling Shoes,19946478149,1,509.53,560.483,50.953
gid://shopify/LineItem/2156115296334,3647,United States,Miner,Connechie,Louisiana,92573,NEW ORLEANS,USD,6034,3/21/25 15:09,gift_card,6137294981,Cycling Shoes,19946478149,1,439.13,483.043,43.913
gid://shopify/LineItem/2151436157006,88,United States,Erika,Rosengren,Georgia,41644,ALBANY,USD,2772,3/18/25 9:00,gift_card,6137294981,Cycling Shoes,19946478149,1,509.53,560.483,50.953
gid://shopify/LineItem/2151445725262,101,United States,Perice,Moppett,Ohio,23773,AKRON,USD,4345,3/18/25 9:11,gift_card,6137294981,Cycling Shoes,19946478149,1,509.53,560.483,50.953
gid://shopify/LineItem/2154924245070,2741,United States,Dorene,Danelutti,Tennessee,60290,NASHVILLE,USD,4552,3/20/25 17:22,gift_card,6137294981,Walking Shoes,19946478149,1,509.53,560.483,50.953
gid://shopify/LineItem/2152562950222,921,United States,Malissia,Leaver,Massachusetts,85300,BOSTON,USD,176,3/18/25 23:12,shopify_payments,6137294981,Walking Shoes,19946478213,1,869.13,956.043,86.913
gid://shopify/LineItem/2157269090382,4562,United States,Auguste,Ram,California,20126,STOCKTON,USD,4270,3/22/25 12:17,shopify_payments,6137294981,Walking Shoes,19946478213,1,439.13,483.043,43.913
